13. 11. 24 오후 6:42
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	   40384	366221	                    1750115	                      1891009	
Remaining:       	   17327	247336	                     968116	                      1010569	
Unique:          	   27368	314903	                    1469407	                      1583147	
Unique Remaining:	   15425	231451	                     907074	                       947943	


Individual File Statistics:

File Name                                                                                                      	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
2007-01-11-Wii-are-Nintendo-Stars-with-Mii.md                                                                  	            11	                 5	             11	                        5	         78	             19	          78	                    19	                              595	                                   82	                               595	                                          82	                                621	                                     85	                                 621	                                            85	
2007-01-23-alt-shift-k-63743.md                                                                                	             2	                 1	              2	                        1	         19	              2	          19	                     2	                              119	                                    8	                               119	                                           8	                                126	                                      8	                                 126	                                             8	
2007-01-24-http-www-tuaw-com-2007-01-18-melman-quicksilver-users-guide-title-Melman-Quicksilver-User-s-Guide.md	             2	                 1	              1	                        0	         26	              2	          24	                     0	                              197	                                    8	                               189	                                           0	                                205	                                      8	                                 197	                                             0	
2007-01-25-notitle.md                                                                                          	            28	                26	             28	                       26	        528	            511	         528	                   511	                             1605	                                 1439	                              1605	                                        1439	                               1628	                                   1445	                                1628	                                          1445	
2007-01-26-notitle.md                                                                                          	             3	                 3	              3	                        3	         66	             66	          66	                    66	                              228	                                  228	                               228	                                         228	                                233	                                    233	                                 233	                                           233	
2007-01-28-21.md                                                                                               	             3	                 2	              2	                        2	        177	            170	         170	                   170	                              642	                                  544	                               544	                                         544	                                661	                                    549	                                 549	                                           549	
2007-01-30-notitle.md                                                                                          	            33	                27	             28	                       27	       1067	           1061	        1062	                  1061	                             6957	                                 6915	                              6922	                                        6915	                               7287	                                   7245	                                7252	                                          7245	
2007-02-10-QuickSilver-Adium.md                                                                                	             9	                 8	              9	                        8	        120	            105	         120	                   105	                              521	                                  413	                               521	                                         413	                                532	                                    419	                                 532	                                           419	
2007-02-16-Flock-Gresemonkey.md                                                                                	             3	                 3	              3	                        3	        223	            223	         223	                   223	                             1189	                                 1189	                              1189	                                        1189	                               1260	                                   1260	                                1260	                                          1260	
2007-02-17-notitle.md                                                                                          	            10	                 7	             10	                        7	        183	            179	         183	                   179	                              572	                                  556	                               572	                                         556	                                602	                                    585	                                 602	                                           585	
2007-03-11-TextMate.md                                                                                         	            19	                18	             18	                       17	        599	            597	         594	                   592	                             2320	                                 2314	                              2302	                                        2296	                               2636	                                   2630	                                2614	                                          2608	
2007-03-12-notitle.md                                                                                          	            22	                 6	             22	                        6	        392	            361	         392	                   361	                             1931	                                 1492	                              1931	                                        1492	                               2032	                                   1555	                                2032	                                          1555	
2007-03-13-Cocoa.md                                                                                            	            25	                16	             22	                       16	        464	            429	         462	                   429	                             2708	                                 2439	                              2676	                                        2439	                               2828	                                   2523	                                2796	                                          2523	
2007-03-21-notitle.md                                                                                          	             3	                 3	              3	                        3	         39	             39	          39	                    39	                              156	                                  156	                               156	                                         156	                                161	                                    161	                                 161	                                           161	
2007-03-29-notitle.md                                                                                          	             6	                 6	              6	                        6	         94	             94	          94	                    94	                              298	                                  298	                               298	                                         298	                                303	                                    303	                                 303	                                           303	
2007-04-03-notitle.md                                                                                          	            30	                30	             30	                       30	        189	            189	         189	                   189	                              507	                                  507	                               507	                                         507	                                512	                                    512	                                 512	                                           512	
2007-04-22-notitle.md                                                                                          	            15	                15	             15	                       15	        105	            105	         105	                   105	                              303	                                  303	                               303	                                         303	                                308	                                    308	                                 308	                                           308	
2007-04-24-notitle.md                                                                                          	            26	                25	             25	                       24	        157	            147	         151	                   141	                              440	                                  372	                               427	                                         359	                                445	                                    374	                                 432	                                           361	
2007-06-01-notitle.md                                                                                          	           111	               110	            111	                      110	       1874	           1864	        1874	                  1864	                             5293	                                 5225	                              5293	                                        5225	                               5300	                                   5229	                                5300	                                          5229	
2007-06-14-Rails-Creating-a-Weblog-in-15-minutes.md                                                            	           213	               125	            183	                      125	       1842	           1565	        1784	                  1565	                             9143	                                 6954	                              8670	                                        6954	                               9813	                                   7350	                                9261	                                          7350	
2007-06-24-notitle.md                                                                                          	            12	                12	             12	                       12	         93	             93	          93	                    93	                              268	                                  268	                               268	                                         268	                                273	                                    273	                                 273	                                           273	
2007-08-01-notitle.md                                                                                          	            23	                23	             23	                       23	        181	            181	         181	                   181	                              494	                                  494	                               494	                                         494	                                499	                                    499	                                 499	                                           499	
2007-08-22-notitle.md                                                                                          	            52	                51	             52	                       51	        396	            386	         396	                   386	                             1310	                                 1242	                              1310	                                        1242	                               1322	                                   1251	                                1322	                                          1251	
2007-09-17-notitle.md                                                                                          	            10	                10	             10	                       10	         98	             98	          98	                    98	                              300	                                  300	                               300	                                         300	                                305	                                    305	                                 305	                                           305	
2007-09-19-Web.md                                                                                              	            54	                53	             54	                       53	        524	            514	         524	                   514	                             1395	                                 1327	                              1395	                                        1327	                               1410	                                   1339	                                1410	                                          1339	
2007-10-23-notitle.md                                                                                          	            15	                15	             15	                       15	        174	            174	         174	                   174	                              556	                                  556	                               556	                                         556	                                561	                                    561	                                 561	                                           561	
2007-10-24-2.md                                                                                                	            26	                26	             26	                       26	        246	            246	         246	                   246	                              772	                                  772	                               772	                                         772	                                780	                                    780	                                 780	                                           780	
2007-11-18-notitle.md                                                                                          	            19	                19	             19	                       19	        161	            161	         161	                   161	                              477	                                  477	                               477	                                         477	                                482	                                    482	                                 482	                                           482	
2007-11-27-notitle.md                                                                                          	            24	                23	             24	                       23	        161	            151	         161	                   151	                              613	                                  545	                               613	                                         545	                                618	                                    547	                                 618	                                           547	
2007-12-10-notitle.md                                                                                          	            18	                18	             18	                       18	        173	            173	         173	                   173	                              533	                                  533	                               533	                                         533	                                538	                                    538	                                 538	                                           538	
2007-12-11-notitle.md                                                                                          	            20	                20	             20	                       20	        208	            208	         208	                   208	                              532	                                  532	                               532	                                         532	                                537	                                    537	                                 537	                                           537	
2008-01-18-MacBook-Air-Mac-mini.markdown                                                                       	            26	                25	             26	                       25	        194	            193	         194	                   193	                              643	                                  641	                               643	                                         641	                                668	                                    666	                                 668	                                           666	
2008-01-19-QuickSilver-gmail.markdown                                                                          	            14	                14	             14	                       14	        212	            212	         212	                   212	                              837	                                  837	                               837	                                         837	                                865	                                    865	                                 865	                                           865	
2008-01-23-span-style-font-weight-bold-MacBook-Air-span.markdown                                               	            13	                13	             13	                       13	        427	            427	         427	                   427	                             1209	                                 1209	                              1209	                                        1209	                               1217	                                   1217	                                1217	                                          1217	
2008-01-24-notitle.markdown                                                                                    	            10	                10	             10	                       10	        219	            219	         219	                   219	                              640	                                  640	                               640	                                         640	                                644	                                    644	                                 644	                                           644	
2008-02-04-Gmail.markdown                                                                                      	             4	                 4	              4	                        4	         79	             79	          79	                    79	                              444	                                  444	                               444	                                         444	                                469	                                    469	                                 469	                                           469	
2008-02-13-Intel-Mac-mini-7-500-HDD.markdown                                                                   	            13	                13	             13	                       13	        295	            295	         295	                   295	                             1512	                                 1512	                              1512	                                        1512	                               1542	                                   1542	                                1542	                                          1542	
2008-02-14-Folder.markdown                                                                                     	             3	                 3	              3	                        3	         49	             49	          49	                    49	                              318	                                  318	                               318	                                         318	                                322	                                    322	                                 322	                                           322	
2008-02-15-Gmail-New-Version-Fixed.markdown                                                                    	             3	                 2	              3	                        2	         85	             71	          85	                    71	                              373	                                  282	                               373	                                         282	                                382	                                    284	                                 382	                                           284	
2008-02-18-2008.markdown                                                                                       	            10	                 2	             10	                        2	        103	             23	         103	                    23	                              845	                                  109	                               845	                                         109	                                849	                                    113	                                 849	                                           113	
2008-02-19-notitle.markdown                                                                                    	             3	                 3	              3	                        3	         58	             58	          58	                    58	                              199	                                  199	                               199	                                         199	                                203	                                    203	                                 203	                                           203	
2008-02-21-iqlight.markdown                                                                                    	            85	                69	             85	                       69	        843	            688	         843	                   688	                             3449	                                 2031	                              3449	                                        2031	                               3472	                                   2052	                                3472	                                          2052	
2008-02-21-notitle.markdown                                                                                    	             5	                 5	              5	                        5	         87	             87	          87	                    87	                              286	                                  286	                               286	                                         286	                                290	                                    290	                                 290	                                           290	
2008-02-25-8984-command.markdown                                                                               	            13	                10	             13	                       10	         77	             47	          77	                    47	                              482	                                  206	                               482	                                         206	                                486	                                    210	                                 486	                                           210	
2008-03-02-IQ-Light.markdown                                                                                   	             8	                 7	              8	                        7	         89	             82	          89	                    82	                              405	                                  360	                               405	                                         360	                                421	                                    374	                                 421	                                           374	
2008-03-03-notitle.markdown                                                                                    	             8	                 8	              8	                        8	        187	            187	         187	                   187	                              516	                                  516	                               516	                                         516	                                520	                                    520	                                 520	                                           520	
2008-03-05-Cocoa-Ruby.markdown                                                                                 	             7	                 7	              7	                        7	        139	            139	         139	                   139	                              524	                                  524	                               524	                                         524	                                540	                                    540	                                 540	                                           540	
2008-03-08-notitle.markdown                                                                                    	             3	                 3	              3	                        3	         89	             89	          89	                    89	                              280	                                  280	                               280	                                         280	                                287	                                    287	                                 287	                                           287	
2008-03-13-notitle.markdown                                                                                    	            18	                17	             18	                       17	        415	            406	         415	                   406	                             1838	                                 1777	                              1838	                                        1777	                               1886	                                   1825	                                1886	                                          1825	
2008-03-16-notitle.markdown                                                                                    	             7	                 6	              7	                        6	         70	             63	          70	                    63	                              239	                                  194	                               239	                                         194	                                243	                                    196	                                 243	                                           196	
2008-03-19-Ruby.markdown                                                                                       	           161	               138	            148	                      129	       1214	           1066	        1187	                  1050	                             4384	                                 3082	                              4264	                                        3026	                               4551	                                   3097	                                4421	                                          3040	
2008-03-21-Ruby.markdown                                                                                       	           100	                76	             90	                       74	        788	            675	         696	                   661	                             3996	                                 1913	                              3053	                                        1854	                               4129	                                   1918	                                3079	                                          1857	
2008-03-23-Ruby.markdown                                                                                       	           187	               155	            174	                      152	       1707	           1499	        1609	                  1485	                             6694	                                 4369	                              5726	                                        4309	                               6939	                                   4391	                                5864	                                          4329	
2008-03-24-The-Pragmatic-Bookshelf.markdown                                                                    	            25	                23	             24	                       23	        558	            550	         557	                   550	                             1504	                                 1457	                              1502	                                        1457	                               1519	                                   1470	                                1517	                                          1470	
2008-03-26-Attention.markdown                                                                                  	            14	                14	             14	                       14	        478	            478	         478	                   478	                             1220	                                 1220	                              1220	                                        1220	                               1224	                                   1224	                                1224	                                          1224	
2008-04-12-notitle.markdown                                                                                    	             2	                 2	              2	                        2	         49	             49	          49	                    49	                              152	                                  152	                               152	                                         152	                                156	                                    156	                                 156	                                           156	
2008-04-20-Lampshade-DIY.markdown                                                                              	            15	                13	             15	                       13	        229	            218	         229	                   218	                             1394	                                 1289	                              1394	                                        1289	                               1412	                                   1305	                                1412	                                          1305	
2008-06-29-notitle.markdown                                                                                    	            33	                23	             32	                       23	       6800	           6750	        6797	                  6750	                            45833	                                45368	                             45808	                                       45368	                              48492	                                  47994	                               48465	                                         47994	
2008-07-08-Ruby.markdown                                                                                       	           109	                84	             96	                       82	       3880	           3815	        3852	                  3800	                            22407	                                22018	                             22312	                                       21982	                              23822	                                  23385	                               23714	                                         23349	
2008-08-02-Ruby.markdown                                                                                       	           112	                90	            110	                       90	       1344	           1215	        1336	                  1215	                             5047	                                 3698	                              4954	                                        3698	                               5281	                                   3723	                                5175	                                          3723	
2008-08-09-Ruby-Mix-in.markdown                                                                                	           266	               119	            173	                      118	       2269	           1853	        2085	                  1845	                             7912	                                 5743	                              7041	                                        5720	                               8719	                                   6155	                                7690	                                          6132	
2008-08-12-Ruby-yield-eval.markdown                                                                            	           204	                85	            131	                       85	       1404	           1160	        1276	                  1160	                             6351	                                 4223	                              5330	                                        4223	                               6680	                                   4362	                                5563	                                          4362	
2008-08-16-Ruby.markdown                                                                                       	           386	               168	            272	                      164	       2993	           2499	        2771	                  2464	                            13024	                                 9289	                             11780	                                        9188	                              13930	                                   9492	                               12555	                                          9385	
2008-08-27-Ruby.markdown                                                                                       	            13	                13	             13	                       13	        205	            205	         205	                   205	                              638	                                  638	                               638	                                         638	                                642	                                    642	                                 642	                                           642	
2008-09-05-Ruby.markdown                                                                                       	           143	                82	            108	                       80	       1011	            848	         954	                   846	                             6294	                                 5093	                              5897	                                        5086	                               6770	                                   5420	                                6313	                                          5413	
2008-09-13-Ruby.markdown                                                                                       	            17	                15	             17	                       15	        213	            196	         213	                   196	                              930	                                  793	                               930	                                         793	                                939	                                    800	                                 939	                                           800	
2008-09-17-Ruby-Symbol-to_proc.markdown                                                                        	           139	                64	             93	                       62	       1005	            755	         903	                   748	                             4925	                                 3167	                              4236	                                        3135	                               5326	                                   3360	                                4541	                                          3325	
2008-09-27-Ruby-Object.markdown                                                                                	            48	                27	             40	                       27	        457	            411	         444	                   411	                             1776	                                 1436	                              1682	                                        1436	                               1840	                                   1450	                                1731	                                          1450	
2008-09-30-Ruby-Module.markdown                                                                                	            44	                24	             34	                       23	        434	            389	         417	                   387	                             1642	                                 1327	                              1530	                                        1321	                               1706	                                   1349	                                1578	                                          1343	
2008-10-01-Ruby.markdown                                                                                       	             6	                 4	              5	                        3	        186	            172	         173	                   159	                              799	                                  694	                               752	                                         647	                                809	                                    701	                                 760	                                           652	
2008-10-02-Graphviz-Ruby.markdown                                                                              	             9	                 6	              9	                        6	        187	            163	         187	                   163	                              659	                                  468	                               659	                                         468	                                664	                                    470	                                 664	                                           470	
2008-10-22-Ruby-If-method_missing-define_method-by-Ruby.markdown                                               	           362	                82	            170	                       82	       1984	           1217	        1551	                  1217	                             9591	                                 4504	                              6932	                                        4504	                              10348	                                   4647	                                7358	                                          4647	
2009-01-11-Ruby.markdown                                                                                       	            86	                19	             60	                       19	        608	            263	         564	                   263	                             2632	                                  933	                              2491	                                         933	                               2980	                                    992	                                2819	                                           992	
2009-01-13-Bubble.markdown                                                                                     	            15	                15	             15	                       15	        342	            342	         342	                   342	                              971	                                  971	                               971	                                         971	                                978	                                    978	                                 978	                                           978	
2009-01-13-Ruby-Ruby-Problem3.markdown                                                                         	            69	                19	             48	                       18	        536	            320	         482	                   303	                             2221	                                 1173	                              2062	                                        1143	                               2495	                                   1272	                                2306	                                          1239	
2009-01-14-Ruby-Ruby-Problem4.markdown                                                                         	            36	                 9	             30	                        9	        196	             97	         189	                    97	                              863	                                  340	                               843	                                         340	                                974	                                    362	                                 953	                                           362	
2009-01-15-Ruby-Ruby-Problem5.markdown                                                                         	            66	                20	             46	                       20	        454	            312	         427	                   312	                             1764	                                 1152	                              1666	                                        1152	                               1932	                                   1235	                                1826	                                          1235	
2009-01-16-Ruby-Ruby-Problem7.markdown                                                                         	           104	                19	             64	                       19	        854	            522	         766	                   522	                             3577	                                 1828	                              3207	                                        1828	                               4354	                                   2080	                                3936	                                          2080	
